#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 16:04:16.854
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.95 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -500 mV
#Channel 2: Range: 500 mV/div Offset: -500 mV
#Math 1: Function: (C1-C2)/301

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.00512,-0.0270637,-0.00127197,-8.56867e-05
-0.00511875,-0.0273949,-0.00160749,-8.56723e-05
-0.0051175,-0.0273949,-0.001943,-8.45577e-05
-0.00511625,-0.0270637,-0.001943,-8.34574e-05
-0.005115,-0.0267325,-0.00160749,-8.34717e-05
-0.00511375,-0.0270637,-0.00160749,-8.4572e-05
-0.0051125,-0.0267325,-0.00160749,-8.34717e-05
-0.00511125,-0.0267325,-0.00127197,-8.45864e-05
-0.00511,-0.0270637,-0.000936452,-8.68014e-05
-0.00510875,-0.0264013,-0.000936452,-8.46008e-05
-0.0051075,-0.0267325,-0.00127197,-8.45864e-05
-0.00510625,-0.0267325,-0.00127197,-8.45864e-05
-0.005105,-0.0267325,-0.000936452,-8.57011e-05
-0.00510375,-0.0264013,-0.000936452,-8.46008e-05
-0.0051025,-0.0264013,-0.00127197,-8.34861e-05
-0.00510125,-0.0257389,-0.000936452,-8.24001e-05
-0.0051,-0.0257389,-0.00127197,-8.12855e-05
-0.00509875,-0.0264013,-0.000936452,-8.46008e-05
-0.0050975,-0.0264013,-0.00160749,-8.23714e-05
-0.00509625,-0.0260701,-0.000936452,-8.35005e-05
-0.005095,-0.0264013,-0.000936452,-8.46008e-05
-0.00509375,-0.0267325,-0.00127197,-8.45864e-05
-0.0050925,-0.0260701,-0.00127197,-8.23858e-05
-0.00509125,-0.0264013,-0.00127197,-8.34861e-05
-0.00509,-0.0264013,-0.000936452,-8.46008e-05
-0.00508875,-0.0260701,-0.000936452,-8.35005e-05
-0.0050875,-0.0260701,-0.00127197,-8.23858e-05
-0.00508625,-0.0260701,-0.00127197,-8.23858e-05
-0.005085,-0.0264013,-0.000936452,-8.46008e-05
-0.00508375,-0.0257389,-0.000600936,-8.35148e-05
-0.0050825,-0.0264013,-0.000600936,-8.57154e-05
-0.00508125,-0.0260701,-0.000600936,-8.46151e-05
-0.00508,-0.0260701,-0.000936452,-8.35005e-05
-0.00507875,-0.0254077,-0.000600936,-8.24145e-05
-0.0050775,-0.0257389,-0.000936452,-8.24001e-05
-0.00507625,-0.0254077,-0.000600936,-8.24145e-05
-0.005075,-0.0257389,-0.000936452,-8.24001e-05
-0.00507375,-0.0257389,-0.000936452,-8.24001e-05
-0.0050725,-0.0247453,-0.000600936,-8.02139e-05
-0.00507125,-0.0257389,-0.000936452,-8.24001e-05
-0.00507,-0.0257389,-0.000600936,-8.35148e-05
-0.00506875,-0.0260701,-0.000936452,-8.35005e-05
-0.0050675,-0.0254077,-0.000265419,-8.35292e-05
-0.00506625,-0.0257389,-0.000265419,-8.46295e-05
-0.005065,-0.0257389,-0.000936452,-8.24001e-05
-0.00506375,-0.0260701,-0.000936452,-8.35005e-05
-0.0050625,-0.0257389,-0.000265419,-8.46295e-05
-0.00506125,-0.0257389,-0.000265419,-8.46295e-05
-0.00506,-0.0257389,-0.000265419,-8.46295e-05
-0.00505875,-0.0257389,-0.000936452,-8.24001e-05
-0.0050575,-0.0260701,-0.000600936,-8.46151e-05
-0.00505625,-0.0254077,-0.000265419,-8.35292e-05
-0.005055,-0.0254077,-0.000265419,-8.35292e-05
-0.00505375,-0.0257389,-0.000600936,-8.35148e-05
-0.0050525,-0.0254077,-0.000265419,-8.35292e-05
-0.00505125,-0.0250765,-0.000600936,-8.13142e-05
-0.00505,-0.0254077,-0.000265419,-8.35292e-05
-0.00504875,-0.0257389,-0.000265419,-8.46295e-05
-0.0050475,-0.0247453,-0.000265419,-8.13286e-05
-0.00504625,-0.0254077,-0.000600936,-8.24145e-05
-0.005045,-0.0254077,-0.000265419,-8.35292e-05
-0.00504375,-0.0250765,-0.000265419,-8.24289e-05
-0.0050425,-0.0247453,-0.000265419,-8.13286e-05
-0.00504125,-0.0250765,-0.000600936,-8.13142e-05
-0.00504,-0.0250765,-0.000936452,-8.01995e-05
-0.00503875,-0.0250765,-0.000265419,-8.24289e-05
-0.0050375,-0.0250765,-0.000265419,-8.24289e-05
-0.00503625,-0.0247453,-0.000265419,-8.13286e-05
-0.005035,-0.0250765,-0.000265419,-8.24289e-05
-0.00503375,-0.0247453,-0.000265419,-8.13286e-05
-0.0050325,-0.0247453,7.00975e-05,-8.24432e-05
-0.00503125,-0.0250765,7.00975e-05,-8.35435e-05
-0.00503,-0.0247453,-0.000265419,-8.13286e-05
-0.00502875,-0.0247453,-0.000265419,-8.13286e-05
-0.0050275,-0.0250765,-0.000600936,-8.13142e-05
-0.00502625,-0.0254077,-0.000265419,-8.35292e-05
-0.005025,-0.0250765,-0.000600936,-8.13142e-05
-0.00502375,-0.0254077,-0.000600936,-8.24145e-05
-0.0050225,-0.0250765,-0.000600936,-8.13142e-05
-0.00502125,-0.0247453,-0.000600936,-8.02139e-05
-0.00502,-0.0250765,-0.000600936,-8.13142e-05
-0.00501875,-0.0250765,-0.000600936,-8.13142e-05
-0.0050175,-0.0247453,-0.000600936,-8.02139e-05
-0.00501625,-0.0244141,-0.000265419,-8.02283e-05
-0.005015,-0.0247453,-0.000265419,-8.13286e-05
-0.00501375,-0.0250765,-0.000600936,-8.13142e-05
-0.0050125,-0.0250765,-0.000265419,-8.24289e-05
-0.00501125,-0.0254077,-0.000265419,-8.35292e-05
-0.00501,-0.0247453,-0.000600936,-8.02139e-05
-0.00500875,-0.0250765,-0.000600936,-8.13142e-05
-0.0050075,-0.0250765,-0.000600936,-8.13142e-05
-0.00500625,-0.0247453,-0.000265419,-8.13286e-05
-0.005005,-0.0254077,-0.000265419,-8.35292e-05
-0.00500375,-0.0250765,-0.000265419,-8.24289e-05
-0.0050025,-0.0250765,-0.000600936,-8.13142e-05
-0.00500125,-0.0250765,-0.000600936,-8.13142e-05
-0.005,-0.0247453,-0.000600936,-8.02139e-05
-0.00499875,-0.0247453,-0.00127197,-7.79845e-05
-0.0049975,-0.0244141,-0.000936452,-7.79989e-05
-0.00499625,-0.0244141,-0.000265419,-8.02283e-05
-0.004995,-0.0250765,-0.000600936,-8.13142e-05
-0.00499375,-0.0247453,-0.000265419,-8.13286e-05
