#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 16:46:10.204
#Sample rate: 800Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -2 V
#Channel 2: Range: 1 V/div Offset: -2 V
#Our λ: Function: C1/5*(1.36-0.65)+0.65
#Their λ: Function: C2/5*(1.36-0.68)+0.68
#Difference λ: Function: M2 -M1 

Time (s),Channel 1 (V),Channel 2 (V),Our λ (λ),Their λ (λ),Difference λ (λ)
-5.1175,2.17788,2.49592,0.95926,1.01945,0.0601859
-5.11625,2.17788,2.49592,0.95926,1.01945,0.0601859
-5.115,2.17788,2.49224,0.95926,1.01894,0.0596844
-5.11375,2.18516,2.49592,0.960292,1.01945,0.0591531
-5.1125,2.18516,2.49592,0.960292,1.01945,0.0591531
-5.11125,2.18516,2.49592,0.960292,1.01945,0.0591531
-5.11,2.18516,2.49592,0.960292,1.01945,0.0591531
-5.10875,2.18516,2.49592,0.960292,1.01945,0.0591531
-5.1075,2.18516,2.49592,0.960292,1.01945,0.0591531
-5.10625,2.18516,2.49224,0.960292,1.01894,0.0586517
-5.105,2.18516,2.49592,0.960292,1.01945,0.0591531
-5.10375,2.18516,2.49224,0.960292,1.01894,0.0586517
-5.1025,2.18879,2.49592,0.960809,1.01945,0.0586368
-5.10125,2.19243,2.49224,0.961325,1.01894,0.057619
-5.1,2.19243,2.49592,0.961325,1.01945,0.0581204
-5.09875,2.19243,2.49592,0.961325,1.01945,0.0581204
-5.0975,2.19243,2.49592,0.961325,1.01945,0.0581204
-5.09625,2.19243,2.49592,0.961325,1.01945,0.0581204
-5.095,2.19243,2.49592,0.961325,1.01945,0.0581204
-5.09375,2.19243,2.49592,0.961325,1.01945,0.0581204
-5.0925,2.19243,2.49592,0.961325,1.01945,0.0581204
-5.09125,2.19607,2.49592,0.961841,1.01945,0.057604
-5.09,2.1997,2.49224,0.962358,1.01894,0.0565862
-5.08875,2.1997,2.49592,0.962358,1.01945,0.0570877
-5.0875,2.1997,2.49592,0.962358,1.01945,0.0570877
-5.08625,2.1997,2.49592,0.962358,1.01945,0.0570877
-5.085,2.1997,2.49592,0.962358,1.01945,0.0570877
-5.08375,2.1997,2.49592,0.962358,1.01945,0.0570877
-5.0825,2.1997,2.49592,0.962358,1.01945,0.0570877
-5.08125,2.1997,2.49224,0.962358,1.01894,0.0565862
-5.08,2.21061,2.49592,0.963907,1.01945,0.0555386
-5.07875,2.21425,2.49224,0.964423,1.01894,0.0545208
-5.0775,2.21061,2.45537,0.963907,1.01393,0.0500229
-5.07625,2.21425,2.2489,0.964423,0.98585,0.0214271
-5.075,2.21425,2.17147,0.964423,0.975321,0.0108973
-5.07375,2.21425,2.14935,0.964423,0.972312,0.0078888
-5.0725,2.21425,2.14567,0.964423,0.971811,0.00738739
-5.07125,2.21425,2.14198,0.964423,0.971309,0.00688597
-5.07,2.21788,2.14198,0.96494,0.971309,0.0063696
-5.06875,2.24698,2.14198,0.969071,0.971309,0.00223867
-5.0675,2.24698,2.14198,0.969071,0.971309,0.00223867
-5.06625,2.24698,2.14198,0.969071,0.971309,0.00223867
-5.065,2.24698,2.14198,0.969071,0.971309,0.00223867
-5.06375,2.24698,2.14198,0.969071,0.971309,0.00223867
-5.0625,2.24698,2.14198,0.969071,0.971309,0.00223867
-5.06125,2.24698,2.14198,0.969071,0.971309,0.00223867
-5.06,2.25061,2.14198,0.969587,0.971309,0.0017223
-5.05875,2.26152,2.14198,0.971136,0.971309,0.000173198
