#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 15:58:00.707
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.95 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -500 mV
#Channel 2: Range: 500 mV/div Offset: -500 mV
#Math 2: Function: (C1-C2)/0.00017053

Time (s),Channel 1 (V),Channel 2 (V),Math 2 (Ω)
-0.00512,-0.0240829,-0.00160749,-131.798
-0.00511875,-0.0244141,-0.00127197,-135.707
-0.0051175,-0.0237517,-0.00160749,-129.855
-0.00511625,-0.0240829,-0.00127197,-133.765
-0.005115,-0.0237517,-0.00160749,-129.855
-0.00511375,-0.0244141,-0.00127197,-135.707
-0.0051125,-0.0237517,-0.000936452,-133.79
-0.00511125,-0.0234205,-0.000936452,-131.848
-0.00511,-0.0240829,-0.000936452,-135.733
-0.00510875,-0.0234205,-0.000936452,-131.848
-0.0051075,-0.0247453,-0.00160749,-135.682
-0.00510625,-0.0247453,-0.001943,-133.714
-0.005105,-0.0247453,-0.00127197,-137.649
-0.00510375,-0.0250765,-0.000936452,-141.559
-0.0051025,-0.0247453,-0.000936452,-139.617
-0.00510125,-0.0244141,-0.000600936,-139.642
-0.0051,-0.0247453,-0.000600936,-141.584
-0.00509875,-0.0254077,-0.000936452,-143.501
-0.0050975,-0.0254077,-0.000936452,-143.501
-0.00509625,-0.0247453,-0.000936452,-139.617
-0.005095,-0.0254077,-0.00127197,-141.534
-0.00509375,-0.0254077,-0.00127197,-141.534
-0.0050925,-0.0250765,-0.000936452,-141.559
-0.00509125,-0.0254077,-0.00127197,-141.534
-0.00509,-0.0257389,-0.000936452,-145.443
-0.00508875,-0.010504,-0.000600936,-58.0724
-0.0050875,0.00671801,-0.000265419,40.9513
-0.00508625,0.00936755,-0.000265419,56.4884
-0.005085,0.0106923,-0.000265419,64.257
-0.00508375,0.0113547,-0.000936452,72.0762
-0.0050825,0.0123483,-0.000936452,77.9027
-0.00508125,0.0130107,-0.000600936,79.8194
-0.00508,0.0136731,-0.000936452,85.6712
-0.00507875,0.0140043,-0.000936452,87.6134
-0.0050775,0.0143354,-0.000936452,89.5555
-0.00507625,0.0149978,-0.000600936,91.4723
-0.005075,0.0149978,-0.000936452,93.4398
-0.00507375,0.0156602,-0.00127197,99.2915
-0.0050725,0.0163226,-0.000936452,101.208
-0.00507125,0.0166538,-0.000936452,103.15
-0.00507,0.0173162,-0.000936452,107.035
-0.00506875,0.0173162,-0.00127197,109.002
-0.0050675,0.0179786,-0.000936452,110.919
-0.00506625,0.0179786,-0.000600936,108.952
-0.005065,0.0183098,-0.000936452,112.861
-0.00506375,0.0189721,-0.000936452,116.745
-0.0050625,0.0193033,-0.000600936,116.72
-0.00506125,0.0193033,-0.000600936,116.72
-0.00506,0.0196345,-0.000265419,116.695
-0.00505875,0.0193033,-0.000600936,116.72
-0.0050575,0.0199657,-0.000600936,120.604
-0.00505625,0.0202969,-0.000936452,124.514
-0.005055,0.0206281,-0.000936452,126.456
-0.00505375,0.0206281,-0.000600936,124.489
-0.0050525,0.0209593,-0.000936452,128.398
-0.00505125,0.0209593,-0.00127197,130.366
-0.00505,0.0212905,-0.000600936,128.373
-0.00504875,0.0216217,-0.000600936,130.315
-0.0050475,0.0219529,7.00975e-05,128.322
-0.00504625,0.0219529,-0.000265419,130.29
-0.005045,0.0222841,-0.000265419,132.232
-0.00504375,0.0222841,-0.000600936,134.199
-0.0050425,0.0226153,-0.000600936,136.141
-0.00504125,0.0226153,-0.000600936,136.141
-0.00504,0.0226153,-0.000600936,136.141
-0.00503875,0.0229465,-0.000265419,136.116
-0.0050375,0.0232777,-0.000265419,138.058
-0.00503625,0.0229465,-0.000600936,138.084
-0.005035,0.0232777,-0.000600936,140.026
-0.00503375,0.0236088,-0.000936452,143.935
-0.0050325,0.0236088,-0.000265419,140
-0.00503125,0.02394,-0.000265419,141.943
-0.00503,0.02394,-0.000600936,143.91
-0.00502875,0.0229465,-0.00127197,142.019
-0.0050275,0.0216217,-0.00160749,136.218
-0.00502625,0.0216217,-0.000600936,130.315
-0.005025,0.0216217,-0.00127197,134.25
-0.00502375,0.0216217,-0.00127197,134.25
-0.0050225,0.0212905,-0.00160749,134.275
-0.00502125,0.0216217,-0.00127197,134.25
-0.00502,0.0219529,-0.000936452,134.225
-0.00501875,0.0212905,-0.000600936,128.373
-0.0050175,0.0216217,-0.000936452,132.283
-0.00501625,0.0219529,-0.000936452,134.225
-0.005015,0.0219529,-0.000936452,134.225
-0.00501375,0.0219529,-0.00127197,136.192
-0.0050125,0.0219529,-0.000600936,132.257
-0.00501125,0.0216217,-0.000936452,132.283
-0.00501,0.0212905,-0.000936452,130.34
-0.00500875,0.0216217,-0.000936452,132.283
-0.0050075,0.0216217,-0.000600936,130.315
-0.00500625,0.0219529,-0.000936452,134.225
-0.005005,0.0212905,-0.000600936,128.373
-0.00500375,0.0209593,-0.000265419,124.463
-0.0050025,0.0209593,-0.000936452,128.398
-0.00500125,0.0216217,-0.000600936,130.315
-0.005,0.0209593,-0.000936452,128.398
-0.00499875,0.0212905,-0.000936452,130.34
-0.0049975,0.0209593,-0.000600936,126.431
-0.00499625,0.0209593,-0.00127197,130.366
-0.004995,0.0216217,-0.00127197,134.25
-0.00499375,0.0212905,-0.00127197,132.308
-0.0049925,0.0209593,-0.000936452,128.398
-0.00499125,0.0209593,-0.000936452,128.398
-0.00499,0.0212905,-0.000600936,128.373
-0.00498875,0.0206281,-0.000936452,126.456
-0.0049875,0.0206281,-0.000936452,126.456
-0.00498625,0.0202969,-0.000265419,120.579
-0.004985,0.0202969,-0.000600936,122.546
-0.00498375,0.0206281,-0.000600936,124.489
-0.0049825,0.0206281,-0.000936452,126.456
-0.00498125,0.0202969,-0.000936452,124.514
-0.00498,0.0202969,-0.000936452,124.514
-0.00497875,0.0202969,-0.000600936,122.546
-0.0049775,0.0206281,-0.000265419,122.521
-0.00497625,0.0202969,-0.000265419,120.579
-0.004975,0.0202969,-0.000936452,124.514
-0.00497375,0.0202969,-0.00127197,126.481
-0.0049725,0.0206281,-0.000936452,126.456
-0.00497125,0.0202969,-0.000936452,124.514
-0.00497,0.0199657,-0.000600936,120.604
-0.00496875,0.0196345,-0.000600936,118.662
-0.0049675,0.0199657,-0.000600936,120.604
-0.00496625,0.0199657,-0.000936452,122.572
-0.004965,0.0196345,-0.000600936,118.662
-0.00496375,0.0199657,-0.000600936,120.604
-0.0049625,0.0199657,-0.000936452,122.572
-0.00496125,0.0199657,-0.000600936,120.604
-0.00496,0.0196345,-0.000600936,118.662
-0.00495875,0.0193033,-0.000600936,116.72
-0.0049575,0.0196345,-0.000936452,120.63
-0.00495625,0.0196345,-0.000265419,116.695
-0.004955,0.0193033,-0.000265419,114.753
-0.00495375,0.0193033,-0.000265419,114.753
-0.0049525,0.0193033,-0.000265419,114.753
-0.00495125,0.0189721,7.00975e-05,110.843
-0.00495,0.0196345,-0.000265419,116.695
-0.00494875,0.0196345,7.00975e-05,114.727
-0.0049475,0.0189721,-0.000265419,112.81
-0.00494625,0.0189721,-0.000600936,114.778
-0.004945,0.0193033,-0.000600936,116.72
-0.00494375,0.0189721,-0.000265419,112.81
-0.0049425,0.0193033,7.00975e-05,112.785
-0.00494125,0.018641,-0.000265419,110.868
-0.00494,0.0189721,-0.000265419,112.81
-0.00493875,0.0189721,-0.000600936,114.778
-0.0049375,0.018641,-0.000600936,112.836
-0.00493625,0.018641,-0.000265419,110.868
-0.004935,0.018641,-0.000265419,110.868
-0.00493375,0.018641,-0.000265419,110.868
-0.0049325,0.0189721,-0.000600936,114.778
-0.00493125,0.018641,7.00975e-05,108.901
-0.00493,0.0183098,7.00975e-05,106.959
-0.00492875,-0.00189301,-0.000600936,-7.5768
-0.0049275,-0.0124912,-0.000265419,-71.6927
-0.00492625,-0.0141471,7.00975e-05,-83.3709
-0.004925,-0.0148095,0.000741131,-91.1902
-0.00492375,-0.0148095,0.000741131,-91.1902
-0.0049225,-0.0161343,0.000405614,-96.9912
-0.00492125,-0.0164655,0.000405614,-98.9334
-0.00492,-0.0167967,0.000741131,-102.843
-0.00491875,-0.0174591,7.00975e-05,-102.792
-0.0049175,-0.0181215,0.000405614,-108.644
-0.00491625,-0.0184527,7.00975e-05,-108.619
-0.004915,-0.019115,0.000405614,-114.47
-0.00491375,-0.0194462,0.000405614,-116.413
-0.0049125,-0.0197774,7.00975e-05,-116.387
-0.00491125,-0.0194462,0.000405614,-116.413
-0.00491,-0.0197774,0.000405614,-118.355
-0.00490875,-0.0201086,7.00975e-05,-118.329
-0.0049075,-0.0204398,-0.000265419,-118.304
-0.00490625,-0.0204398,7.00975e-05,-120.272
-0.004905,-0.0204398,-0.000265419,-118.304
-0.00490375,-0.0211022,7.00975e-05,-124.156
-0.0049025,-0.0214334,0.000405614,-128.065
-0.00490125,-0.0217646,0.000405614,-130.008
-0.0049,-0.0217646,0.000405614,-130.008
-0.00489875,-0.0217646,7.00975e-05,-128.04
-0.0048975,-0.0217646,7.00975e-05,-128.04
-0.00489625,-0.0217646,-0.000265419,-126.073
-0.004895,-0.0217646,7.00975e-05,-128.04
-0.00489375,-0.0227582,7.00975e-05,-133.867
-0.0048925,-0.022427,0.000405614,-133.892
-0.00489125,-0.022427,0.000741131,-135.859
-0.00489,-0.022427,0.000405614,-133.892
-0.00488875,-0.0227582,0.000405614,-135.834
-0.0048875,-0.0227582,0.000405614,-135.834
-0.00488625,-0.0230894,0.000405614,-137.776
-0.004885,-0.0227582,0.000741131,-137.802
-0.00488375,-0.0227582,0.000405614,-135.834
-0.0048825,-0.0227582,-0.000265419,-131.899
-0.00488125,-0.0227582,7.00975e-05,-133.867
-0.00488,-0.0227582,7.00975e-05,-133.867
-0.00487875,-0.0237517,7.00975e-05,-139.693
-0.0048775,-0.0230894,7.00975e-05,-135.809
-0.00487625,-0.0234205,7.00975e-05,-137.751
-0.004875,-0.0230894,7.00975e-05,-135.809
-0.00487375,-0.0234205,0.000405614,-139.718
-0.0048725,-0.0237517,0.000741131,-143.628
-0.00487125,-0.0237517,0.000405614,-141.66
-0.00487,-0.0240829,7.00975e-05,-141.635
-0.00486875,-0.0240829,7.00975e-05,-141.635
-0.0048675,-0.0240829,-0.000600936,-137.7
-0.00486625,-0.0237517,7.00975e-05,-139.693
-0.004865,-0.0234205,-0.000265419,-135.783
-0.00486375,-0.0234205,7.00975e-05,-137.751
-0.0048625,-0.0237517,7.00975e-05,-139.693
-0.00486125,-0.0234205,-0.000265419,-135.783
-0.00486,-0.0237517,-0.000600936,-135.758
-0.00485875,-0.0237517,-0.000265419,-137.725
-0.0048575,-0.0240829,7.00975e-05,-141.635
-0.00485625,-0.0240829,7.00975e-05,-141.635
-0.004855,-0.0234205,7.00975e-05,-137.751
-0.00485375,-0.0237517,0.000405614,-141.66
-0.0048525,-0.0237517,7.00975e-05,-139.693
-0.00485125,-0.0234205,-0.000265419,-135.783
-0.00485,-0.0240829,-0.000265419,-139.668
-0.00484875,-0.0244141,-0.000265419,-141.61
-0.0048475,-0.0244141,-0.000265419,-141.61
-0.00484625,-0.0240829,-0.000600936,-137.7
-0.004845,-0.0237517,-0.000265419,-137.725
-0.00484375,-0.0237517,-0.000265419,-137.725
-0.0048425,-0.0237517,-0.000265419,-137.725
-0.00484125,-0.0240829,7.00975e-05,-141.635
-0.00484,-0.0244141,-0.000265419,-141.61
-0.00483875,-0.0240829,-0.000600936,-137.7
-0.0048375,-0.0237517,0.000405614,-141.66
-0.00483625,-0.0237517,-0.000265419,-137.725
-0.004835,-0.0240829,-0.000265419,-139.668
-0.00483375,-0.0240829,7.00975e-05,-141.635
-0.0048325,-0.0240829,7.00975e-05,-141.635
-0.00483125,-0.0237517,-0.000265419,-137.725
-0.00483,-0.0237517,-0.000265419,-137.725
-0.00482875,-0.0237517,-0.000600936,-135.758
-0.0048275,-0.0237517,-0.000600936,-135.758
-0.00482625,-0.0240829,-0.000265419,-139.668
-0.004825,-0.0237517,-0.000265419,-137.725
-0.00482375,-0.0230894,-0.000265419,-133.841
-0.0048225,-0.0237517,-0.000265419,-137.725
-0.00482125,-0.0237517,7.00975e-05,-139.693
-0.00482,-0.0234205,0.000405614,-139.718
-0.00481875,-0.0230894,7.00975e-05,-135.809
-0.0048175,-0.0234205,7.00975e-05,-137.751
-0.00481625,-0.0230894,7.00975e-05,-135.809
-0.004815,-0.0230894,-0.000265419,-133.841
-0.00481375,-0.0234205,7.00975e-05,-137.751
-0.0048125,-0.0234205,7.00975e-05,-137.751
-0.00481125,-0.0227582,-0.000265419,-131.899
-0.00481,-0.0230894,-0.000600936,-131.874
-0.00480875,-0.0234205,-0.000265419,-135.783
-0.0048075,-0.0230894,-0.000265419,-133.841
-0.00480625,-0.0227582,7.00975e-05,-133.867
-0.004805,-0.0227582,7.00975e-05,-133.867
-0.00480375,-0.0227582,-0.000265419,-131.899
-0.0048025,-0.0227582,7.00975e-05,-133.867
-0.00480125,-0.022427,-0.000265419,-129.957
-0.0048,-0.022427,-0.000265419,-129.957
-0.00479875,-0.022427,-0.000265419,-129.957
-0.0047975,-0.0227582,-0.000936452,-127.964
-0.00479625,-0.0220958,-0.000600936,-126.047
-0.004795,-0.0227582,-0.000600936,-129.932
-0.00479375,-0.0227582,7.00975e-05,-133.867
-0.0047925,-0.022427,7.00975e-05,-131.924
-0.00479125,-0.0227582,7.00975e-05,-133.867
-0.00479,-0.0227582,-0.000265419,-131.899
-0.00478875,-0.022427,-0.000600936,-127.989
-0.0047875,-0.0240829,-0.000600936,-137.7
-0.00478625,-0.0244141,-0.00127197,-135.707
-0.004785,-0.0244141,-0.000936452,-137.675
-0.00478375,-0.0244141,-0.000265419,-141.61
-0.0047825,-0.0240829,-0.000265419,-139.668
-0.00478125,-0.0240829,-0.000600936,-137.7
-0.00478,-0.0240829,-0.000600936,-137.7
-0.00477875,-0.0244141,-0.000600936,-139.642
-0.0047775,-0.0244141,-0.000265419,-141.61
-0.00477625,-0.0240829,7.00975e-05,-141.635
-0.004775,-0.0240829,7.00975e-05,-141.635
