#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-04-09 16:56:31.763
#Sample rate: 400000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Either Level: 3 V Hyst.: Auto HoldOff: 0 s
#Our λ: Function: C1/5*(1.36-0.65)+0.65

Time (s),Our λ (λ)
-0.0102375,1.20195
-0.010235,1.20144
-0.0102325,1.20144
-0.01023,1.20144
-0.0102275,1.20195
-0.010225,1.20298
-0.0102225,1.20247
-0.01022,1.2035
-0.0102175,1.20298
-0.010215,1.20298
-0.0102125,1.20247
-0.01021,1.20298
-0.0102075,1.2035
-0.010205,1.2035
-0.0102025,1.2035
-0.0102,1.20402
-0.0101975,1.2035
-0.010195,1.2035
-0.0101925,1.2035
-0.01019,1.20505
-0.0101875,1.20453
-0.010185,1.20453
-0.0101825,1.20505
-0.01018,1.20505
-0.0101775,1.20505
-0.010175,1.20505
-0.0101725,1.20557
-0.01017,1.20557
-0.0101675,1.20557
-0.010165,1.20608
-0.0101625,1.20557
-0.01016,1.20557
-0.0101575,1.20557
-0.010155,1.20712
-0.0101525,1.2066
-0.01015,1.20608
-0.0101475,1.20712
-0.010145,1.20608
-0.0101425,1.2066
-0.01014,1.2066
-0.0101375,1.20712
-0.010135,1.20763
-0.0101325,1.20763
-0.01013,1.20763
-0.0101275,1.20763
-0.010125,1.20763
-0.0101225,1.20815
-0.01012,1.20815
-0.0101175,1.20866
-0.010115,1.20866
-0.0101125,1.20866
-0.01011,1.20918
-0.0101075,1.20866
-0.010105,1.20866
-0.0101025,1.20918
-0.0101,1.2097
-0.0100975,1.2097
-0.010095,1.2097
-0.0100925,1.2097
-0.01009,1.20918
-0.0100875,1.20918
-0.010085,1.21021
-0.0100825,1.21021
-0.01008,1.21021
-0.0100775,1.21073
-0.010075,1.21073
-0.0100725,1.21125
-0.01007,1.21125
-0.0100675,1.21176
-0.010065,1.21176
-0.0100625,1.21176
-0.01006,1.21125
-0.0100575,1.21176
-0.010055,1.21176
-0.0100525,1.21228
-0.01005,1.2128
-0.0100475,1.2128
-0.010045,1.2128
-0.0100425,1.2128
-0.01004,1.21228
-0.0100375,1.2128
-0.010035,1.2128
-0.0100325,1.21331
-0.01003,1.21331
-0.0100275,1.21434
-0.010025,1.21331
-0.0100225,1.21383
-0.01002,1.21331
-0.0100175,1.21383
-0.010015,1.21486
-0.0100125,1.21486
-0.01001,1.21486
-0.0100075,1.21383
-0.010005,1.21434
-0.0100025,1.21538
-0.01,1.21538
-0.0099975,1.21589
-0.009995,1.21486
-0.0099925,1.21486
-0.00999,1.21538
-0.0099875,1.21589
-0.009985,1.21538
-0.0099825,1.21641
-0.00998,1.21693
-0.0099775,1.21693
-0.009975,1.21693
-0.0099725,1.21641
-0.00997,1.21693
-0.0099675,1.21693
-0.009965,1.21744
-0.0099625,1.21796
-0.00996,1.21796
-0.0099575,1.21744
-0.009955,1.21796
-0.0099525,1.21796
-0.00995,1.21796
-0.0099475,1.21848
-0.009945,1.21899
-0.0099425,1.21899
-0.00994,1.21796
-0.0099375,1.21899
-0.009935,1.21848
-0.0099325,1.21848
-0.00993,1.21951
-0.0099275,1.22002
-0.009925,1.21899
-0.0099225,1.22002
-0.00992,1.21951
-0.0099175,1.22002
-0.009915,1.21951
-0.0099125,1.22002
-0.00991,1.22054
-0.0099075,1.22054
-0.009905,1.22106
-0.0099025,1.22106
-0.0099,1.22054
-0.0098975,1.22106
-0.009895,1.22157
-0.0098925,1.22157
-0.00989,1.22106
-0.0098875,1.22157
-0.009885,1.22106
-0.0098825,1.22157
-0.00988,1.22106
-0.0098775,1.22261
-0.009875,1.22261
-0.0098725,1.22261
-0.00987,1.22209
-0.0098675,1.22209
-0.009865,1.22261
-0.0098625,1.22261
-0.00986,1.22312
-0.0098575,1.22312
-0.009855,1.22364
-0.0098525,1.22364
-0.00985,1.22261
-0.0098475,1.22364
-0.009845,1.22364
-0.0098425,1.22467
-0.00984,1.22416
-0.0098375,1.22416
-0.009835,1.22467
-0.0098325,1.22416
-0.00983,1.22416
-0.0098275,1.22416
-0.009825,1.2257
-0.0098225,1.2257
-0.00982,1.22622
-0.0098175,1.2257
-0.009815,1.22519
-0.0098125,1.2257
-0.00981,1.22622
-0.0098075,1.22622
-0.009805,1.22674
-0.0098025,1.22674
-0.0098,1.22674
-0.0097975,1.22674
-0.009795,1.22622
-0.0097925,1.22674
-0.00979,1.22674
-0.0097875,1.22777
-0.009785,1.22725
-0.0097825,1.22725
-0.00978,1.22777
-0.0097775,1.22725
-0.009775,1.22777
-0.0097725,1.22829
-0.00977,1.2288
-0.0097675,1.2288
-0.009765,1.22829
